metier,competences
Chef de projet technique,"Contrôler la conformité d'exploitation. Contrôler la réalisation d'une prestation. Définir les moyens humains, matériels et financiers d'un projet. Mettre en place des actions correctives et préventives. Repérer des dégradations ou incidents"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Assister techniquement les services de l'entreprise ou les clients. Réaliser ou faire évoluer les schémas, les plans à partir des fonctionnalités et caractéristiques du système électrique ou électronique. Sélectionner les composants électroniques, électriques à partir de bases de données, de nomenclatures fournisseurs. Vérifier par simulation, tests, essais, calculs, les fonctionnalités et les caractéristiques du système électrique ou électronique"
Chef de projet technique,"Analyser les éléments de fabrication. Chiffrage/calcul de coût. Définir les procédés, moyens et modes opératoires. Techniques de soudage"
Chef de projet technique,"Analyser les éléments de fabrication. Analyser un dysfonctionnement ou une non-conformité. Apporter un appui technique aux services qualité, maintenance, méthodes. Définir les procédés, moyens et modes opératoires. Déterminer des actions correctives"
Chef de projet technique,"Automatisme. Concevoir des procédures de maintenance. Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Electricité. Informatique. Informatique industrielle. Installer du matériel d'automatisation. Localisation de panne. Matériel d'automatisation. Modifier un équipement automatisé. Robotique. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Techniques d'asservissement et de régulation. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site. Électrotechnique"
Chef de projet technique,Force de proposition. Autonomie. Rigueur
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Contrôler l'état d'avancement des travaux. Lancer un appel d'offre. Outils bureautiques. Réaliser le suivi d'une commande. Réaliser un reporting. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,Gestion de projet. Outils bureautiques. Pack Office. Concevoir un tableau de bord. Mettre en place une démarche qualité. Réaliser le suivi d'une commande. Réaliser un reporting. Réaliser un suivi budgétaire. Réaliser un suivi d'activité. Rédiger un compte rendu de réunion. Saisir des documents numériques. Sensibiliser un public à une démarche qualité. Transmettre des documents contractuels à des clients. Veille informationnelle. Connaissance technique
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Contrôler l'état d'avancement des travaux. Imprimer des documents techniques. Logiciels : ARCHICAD,SKETCHUP, AUTOCAD. Logiciels :ILLUSTRATOR,  PHOTOSHOP, INDESIGN. Organiser des réunions et des visites de chantier. Outils bureautiques. Renseigner un client. Réaliser un reporting. Réaliser une visite de chantier. Saisir des documents numériques. Techniques de numérisation. Techniques de communication"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Installer du matériel d'automatisation. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Automatisme. Concevoir des procédures de tests. Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Définir les caractéristiques techniques du produit. Matériel d'automatisation. Mécanique. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Réaliser les dossiers d'équipement de l'installation automatisée (plan, schémas, notices d'exploitation, ...). Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site. Établir un cahier des charges"
Chef de projet technique,"Architecture réseau. Automatisme. Concevoir des procédures de tests. Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Définir les caractéristiques techniques du produit. Informatique industrielle. Langages de programmation informatique. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Réaliser les dossiers d'équipement de l'installation automatisée (plan, schémas, notices d'exploitation, ...). Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site. Anglais professionnel. Java"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Organiser des déplacements professionnels. Outils bureautiques. Renseigner un client. Réaliser le suivi d'une commande. Réaliser un suivi d'activité. Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Réaliser un reporting. Saisir des documents numériques. Techniques de communication. Transmettre des documents contractuels à des clients. Utilisation d'outils collaboratifs (planning partagé, web conférence, réseau social d'entreprise, ...)"
Chef de projet technique,Caractéristiques des écosystèmes. Normes environnementales. Procéder à des études/expérimentations. Techniques culturales. Veille informationnelle
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Classer les documents, informations et fonds documentaires d'une activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Normes rédactionnelles. Outils bureautiques. Renseigner un client. Réaliser un reporting. Réaliser un suivi d'activité. Réaliser une recherche documentaire. Rédiger un compte rendu de réunion. Saisir des documents numériques. Mettre en place une démarche qualité. Procédures d'appels d'offres. Réaliser un suivi budgétaire. Réaliser un suivi comptable. Répondre à un appel d'offre. Techniques de communication. Techniques de numérisation. Utilisation d'outils collaboratifs (planning partagé, web conférence, réseau social d'entreprise, ...). Veille informationnelle"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser une recherche documentaire. Saisir des documents numériques. Techniques de numérisation. Transmettre des documents contractuels à des clients"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Automatisme. Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,Code des marchés publics. Conception et Dessin Assistés par Ordinateur (CAO/DAO). Concevoir un tableau de bord. Organiser des réunions et des visites de chantier. Outils bureautiques. Renseigner un client. Réaliser un reporting. Réaliser une visite de chantier. Rédiger un compte rendu de réunion
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site. Régulation et instrumentation"
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Constituer et faire évoluer les nomenclatures des plans, dossiers de définition. Identifier la demande et réaliser les ébauches, schémas de pièces, systèmes, sous-ensembles ou ensembles. Réaliser et faire évoluer les schémas, les plans de détails, de sous-ensembles ou d'ensembles. Réaliser les relevés dimensionnels de pièces, sous-ensembles ou ensembles. Étudier et concevoir des pièces, sous-ensembles ou ensembles"
Chef de projet technique,"Animer une réunion. Définir des solutions fonctionnelles. Former du personnel à des procédures et techniques. Présenter les évolutions du système d'information au commanditaire. Recenser les besoins du commanditaire. Réaliser un reporting. Définir les évolutions d'un système d'information. Méthodes d'analyse (systémique, fonctionnelle, de risques, ...). Progiciels industriels et techniques. Réseaux informatiques et télécoms. Technologies de l'accessibilité numérique"
Chef de projet technique,"Analyser et définir les besoins de l'entreprise, des utilisateurs en matière d'organisation et de systèmes d'information et de télécoms. Concevoir le schéma directeur à partir des orientations fixées par la direction et des besoins des services utilisateurs et superviser les modalités de mise en oeuvre. Coordonner les différentes étapes d'un projet. Piloter un projet. Procéder au choix de réalisation, de traitement en interne ou par sous-traitance et en contrôler la conformité de réalisation"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,Force de proposition. Travail en équipe. Rigueur
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Constituer et faire évoluer les nomenclatures des plans, dossiers de définition. Identifier la demande et réaliser les ébauches, schémas de pièces, systèmes, sous-ensembles ou ensembles. Réaliser et faire évoluer les schémas, les plans de détails, de sous-ensembles ou d'ensembles. Réaliser les relevés dimensionnels de pièces, sous-ensembles ou ensembles. Étudier et concevoir des pièces, sous-ensembles ou ensembles"
Chef de projet technique,Autonomie. Rigueur
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques. Classer les documents, informations et fonds documentaires d'une activité"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site. )"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Classer les documents, informations et fonds documentaires d'une activité. Concevoir un tableau de bord. Outils bureautiques. Réaliser un suivi d'activité. Saisir des documents numériques"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
Chef de projet technique,"Concevoir les spécifications de l'installation automatisée en fonction du cahier des charges. Réaliser l'analyse fonctionnelle de l'installation et la décliner en un programme d'automatisation. Régulation et instrumentation. Saisir la réinitialisation ou la modification du programme d'automatisation et le transférer vers un automate programmable. Vérifier le programme d'automatisation par une série de tests sur plate-forme d'essais, en atelier, sur site"
